C2_F1_UniqueSLD,C2_F3_ChatSessionCount,C2_F6_ProductivityHits,C3_F1_FoodDeliveryHits,C3_F2_LateNightDeliveryRatio,C3_F3_MeanInterOrderDays,C3_F4_DietSiteVisits,C3_F5_TrackerBurstCount,C3_F6_SmartScaleUploads,C3_F7_WeighInTimeVarMin,C5_F1_DhcpPerHour,C5_F2_WifiDwellMin,C5_F3_MedianIKS,C5_F4_IKSStd,C5_F5_Sub30sSessions,C5_F6_SessionFano,C6_F1_LongestMiddayIdleMin,C6_F2_DayActiveSessionCount,C6_F3_DayIdleRatio_09_18,C6_F4_UpstreamBpsPerActiveHour,C6_F5_PostChatCount,C6_F6_MedianInterReqSec,C6_F7_InterReqFano,C6_F8_FirstActivityMin,C6_F9_ActivationDelayVsBase28d,C7_F1_MentalHealthSiteVisitsDay,C7_F2_NegativeSelfSearchRatio,C7_F3_SelfAssessmentDwellSec,C7_F4_HelpTherapyLookupHits,C7_F5_AccountDeleteUnsubCount,C7_F6_SettingsPrivacyDwellSec,C7_F7_SocialOutgoingShareUp,C7_F8_CloudUploadBytesToday,C8_F1_MedianPageDwellSec,C8_F2_DNSBurstRatePerHour,C8_F3_NotificationMicroSessionsCount,C8_F4_RepeatedQueryRatio60m,C8_F5_QueryReformulationMax,C8_F6_BackNavShare,C8_F7_SERPTimeToFirstClickSec,C8_F8_MedianIKSsec,C9_F1_CrisisLineHits,C9_F2_SuicideMethodQueryRatio,C9_F3_TherapyBookingVisits,C9_F4_SelfHarmForumVisits,C9_F5_SelfHarmForumUpBytes,C9_F6_SelfHarmForumMeanSessLenSec,C9_F7_WillInsuranceDownloads,C9_F8_CloudBackupUpBytesToday,C9_F9_AccountDeletionRequestsCount,C9_F10_NightSuicideQueryBursts,C9_F11_NightNegativeSearchRatio,n_total_packets_today,n_night_packets_today,night_pkts_today,day_pkts_today,down_bytes_today,up_bytes_today,LateNightShare,LongestInactivityHours,ActiveNightMinutes,ActiveDayMinutes,ND_Ratio,IS,IV,F1_DistinctSocial,F2_MeanSocialDurSec,Date,F3_LongStreams,F4_DownUpRatio,F5_RevisitRatio,F6_Fano,F7_HourlyCV,F8_NightDayRatioPkts,C2_F2_MedianReplyLatencySec,C2_F4_MeanUpstreamRateBps,C2_F5_PassiveActiveByteRatio,C2_F7_SocialOutgoingShareUp,C4_F1_OnsetDelayFrom2200Min,C4_F2_WakeAfter0400Min,C4_F3_OnsetVar14dMin,C4_F4_SleepDurationZAbs30d,C4_F5_NocturnalMicroSessionCount0106,C4_F6_MeanInterAwakGapMin0106,C4_F7_DaytimeIdleRatio0818,C4_F8_NightDayTrafficRatioBytes
99.0,1.0,13139.0,0.0,,,0.0,0.0,0.0,,0.916770346877887,63.81304073492063,0.10716500000000001,0.717187283300157,0.0,,,,,116.44806712962964,23650.0,0.0,8.076535870289284,240.0,,0.0,0.0,,0.0,,,1.0,851930.0,,59.37456567060458,0.0,0.9621962196219622,,,,0.10716500000000001,0.0,0.0,,0.0,,,,851930.0,,0.0,0.0,117071.0,28268.0,37626.0,79445.0,13516411.0,10061113.0,0.2414603104099222,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,10.0,86390.036408,2015-03-15,0.0,1.343430990189654,0.9970578620464204,149.77048115507316,0.18401722014356475,0.3558184907797848,,91.96324403058469,0.0,1.0,419.98889488333333,1080.0204489333332,,0.5285486388553289,0.0,,0.0,0.2962897009635787
148.0,63.0,13270.0,0.0,,,0.0,0.0,0.0,,2.334846249386569,24.401918167575758,0.001574,0.510351479156984,0.0,,,,,104.24875,28645.0,0.0,41.055616341578336,240.1,,0.0,0.0,,0.0,,,1.0,562365.0,,30.06271777003484,0.0,0.9173728813559322,,,,0.001574,0.0,0.0,,0.0,,,,562365.0,,0.0,0.0,123229.0,28145.0,30073.0,93156.0,45620376.0,9007092.0,0.22839591329962913,0.03138888888888889,360.0,689.0,0.5224963715529753,0.09527586277021945,2.168548826075294,35.0,822.5268273015873,2015-03-16,0.0,5.064939494345123,0.9969361349756753,2636.918401912749,1.9962009337212088,0.3021276138949719,,497.36314901564054,0.0,1.0,419.97795555,1080.2887860833334,,0.21066998090250405,0.0,,0.09,0.10632597999825642
499.0,49.0,10001.0,0.0,,,0.0,0.0,0.0,,2.2500949228585974,16.39010873899371,0.0017295000000000001,0.44028293841149413,0.0,,,,,520.1986805555556,49397.0,0.0,37.56105713429321,241.03333333333333,,0.0,0.0,,0.0,,,1.0,106720.0,,17.33983286908078,0.0,0.875204428229966,,,,0.0017295000000000001,0.0,0.0,,0.0,,,,106720.0,,0.0,0.0,436687.0,5741.0,9173.0,427514.0,176251061.0,44945166.0,0.013146716068946409,0.03138888888888889,301.0,779.0,0.386392811296534,0.12017117844998265,2.1238035297377045,159.0,1239.055495632653,2015-03-17,0.0,3.9214686847524383,0.996417623283295,14071.791460396069,1.9577408058827714,0.013428799992514865,,556.4535191377631,0.0,1.0,419.14469518333334,1080.0312268,,0.20212908123727852,0.0,,0.0016666666666666668,0.0035997842661143684
62.0,3.0,12296.0,0.0,,,0.0,0.0,0.0,,4.501510721221566,11.153869254049845,0.057293,0.5054956247900608,0.0,,,,,80.42087962962962,27305.0,0.0,34.906580531995324,240.06666666666666,,0.0,0.0,,0.0,,,1.0,61272.0,,7.5469075747046555,0.0,0.9963537523203394,,,,0.057293,0.0,0.0,,0.0,,,,61272.0,,0.0,0.0,182297.0,10305.0,13129.0,169168.0,15905244.0,6948364.0,0.05652863184802822,0.03138888888888889,360.0,768.0,0.46875,0.19327731092436964,2.018208256200326,34.0,28583.591296333336,2015-03-18,0.0,2.2890631521319262,0.9991759154648767,1783.8124542146809,2.7233712703637054,0.060915776033292346,,41.377429059826824,0.0,1.0,419.92093225,1080.15369085,,0.19454396475653524,0.0,,0.02,0.041419947403614196
105.0,3.0,16825.0,0.0,,,0.0,0.0,0.0,,43.92346564651101,1.3392059943811332,0.0591145,0.6182395591283328,0.0,,,,,112.65653935185185,29355.0,0.0,27.50046487975944,240.26666666666668,,0.0,0.0,,0.0,,,1.0,536920.0,,37.609451007644196,0.0,0.9112058937572702,,,,0.0591145,0.0,0.0,,0.0,,,,536920.0,,0.0,0.0,126993.0,8306.0,18435.0,108558.0,25236031.0,9733525.0,0.06540517981306056,0.03138888888888889,360.0,770.0,0.4675324675324675,0.1306293706293707,2.0153855873105355,33.0,28428.820031666663,2015-03-19,0.0,2.5926918562391323,0.9976745731180653,597.0263025816396,0.8766139848524653,0.07651209491700289,,57.9410309096524,0.0,1.0,419.63314475,1080.1521725,,0.18774963883831394,0.0,,0.016666666666666666,0.05305421819180191
88.0,1.0,22101.0,0.0,,,0.0,0.0,0.0,,41.841699833524366,1.4263202363742107,0.059015,0.58523073190135,0.0,,,,,129.3203472222222,35804.0,0.0,7.68485972184525,240.0,,0.0,0.0,,0.0,,,1.0,835612.0,,56.12230715774844,0.0,0.9443459766040411,,,,0.059015,0.0,0.0,,0.0,,,,835612.0,,0.0,0.0,149896.0,30319.0,41341.0,108555.0,20872311.0,11173278.0,0.2022669050541709,0.008055555555555555,360.0,780.0,0.46153846153846156,,,46.0,86382.48555,2015-03-20,0.0,1.8680561783211695,0.9983159828536436,383.59656799084445,0.49294947382526655,0.2792962092948275,,103.58119406995925,0.0,1.0,419.99175261666664,1080.00367805,,0.5171591646463197,0.0,,0.0,0.2466031955171048
31.0,1.0,18605.0,0.0,,,0.0,0.0,0.0,,21.418265431850344,2.788257612930474,0.140642,0.6895960911497109,0.0,,,,,123.72123842592593,27932.0,0.0,6.869665767886499,240.03333333333333,,0.0,0.0,,0.0,,,1.0,834964.0,,59.499652536483666,0.0,0.9759939984996249,,,,0.140642,0.0,0.0,,0.0,,,,834964.0,,0.0,0.0,132052.0,33322.0,43739.0,88313.0,11757015.0,10689515.0,0.2523399872777391,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,15.0,86388.407882,2015-03-21,0.0,1.0998642127355638,0.9991422721487466,55.199594015152186,0.043744005083426574,0.37731704279098205,,96.4368507795577,0.0,1.0,419.95306658333334,1080.0083068,,0.501517300373616,0.0,,0.0,0.38190725127500624
32.0,1.0,18349.0,0.0,,,0.0,0.0,0.0,,21.6678080106793,2.7560522502890175,0.163281,0.7001060419362499,0.0,,,,,123.06523148148148,27474.0,0.0,6.747485063396562,240.08333333333334,,0.0,0.0,,0.0,,,1.0,856736.0,,60.04169562195969,0.0,0.9770817417876242,,,,0.163281,0.0,0.0,,0.0,,,,856736.0,,0.0,0.0,131373.0,31399.0,42377.0,88996.0,11220046.0,10632836.0,0.23900649296278534,0.006666666666666667,360.0,780.0,0.46153846153846156,,,15.0,86393.329443,2015-03-22,0.0,1.0552260939602567,0.9990562699068066,57.852404936707195,0.03790213454709236,0.35281360960043145,,95.35453782268236,0.0,1.0,419.9259174833333,1080.0103799166668,,0.5004928990459038,0.0,,0.0,0.3398918885940026
34.0,1.0,20369.0,0.0,,,0.0,0.0,0.0,,21.50354638876326,2.7774885136893204,0.16025050000000002,0.7111698903948598,0.0,,,,,125.12831018518519,27991.0,0.0,6.736910126922366,240.06666666666666,,0.0,0.0,,0.0,,,1.0,850554.0,,59.666435024322446,0.0,0.9753731343283583,,,,0.16025050000000002,0.0,0.0,,0.0,,,,850554.0,,0.0,0.0,133995.0,33393.0,44039.0,89956.0,11830753.0,10811086.0,0.24921079144744207,0.0077777777777777776,360.0,780.0,0.46153846153846156,,,16.0,86369.851189,2015-03-23,0.0,1.0943167966659408,0.999070021881838,53.50263139482771,0.053490834563951185,0.37121481613233137,,96.87950002009121,0.0,1.0,419.99966711666667,1080.0255622,,0.4664839212936652,0.0,,0.0,0.3723982529045609
33.0,1.0,18798.0,0.0,,,0.0,0.0,0.0,,21.42021480401649,2.7882962689733595,0.159135,0.7131363311893997,0.0,,,,,121.57311342592592,27391.0,0.0,6.676888826206119,240.0,,0.0,0.0,,0.0,,,1.0,841968.0,,59.33287004864489,0.0,0.9755818389927509,,,,0.159135,0.0,0.0,,0.0,,,,841968.0,,0.0,0.0,132889.0,32217.0,42809.0,90080.0,11481964.0,10503917.0,0.24243541602389965,0.006666666666666667,360.0,780.0,0.46153846153846156,,,16.0,86381.971264,2015-03-24,0.0,1.0931125979003833,0.9990968306968088,51.94090430839939,0.042846227464028636,0.357648756660746,,93.01792819063212,0.0,1.0,419.9658416166667,1080.0461651,,0.46959277737152866,0.0,,0.0,0.36031594511062354
37.0,1.0,18628.0,0.0,,,0.0,0.0,0.0,,22.08360527631849,2.704017331915564,0.161207,0.7044931662738566,0.0,,,,,125.04908564814815,27120.0,0.0,6.720833455120879,240.21666666666667,,0.0,0.0,,0.0,,,1.0,855074.0,,59.79152189020153,0.0,0.9736943907156673,,,,0.161207,0.0,0.0,,0.0,,,,855074.0,,0.0,0.0,146451.0,32174.0,42677.0,103774.0,25280859.0,10804241.0,0.21969122778267133,0.006666666666666667,360.0,780.0,0.46153846153846156,,,16.0,86390.238789,2015-03-25,0.0,2.339901433150186,0.9990812703299977,1505.9899160384675,0.49322491153340364,0.3100391234798697,,92.71428244992717,0.0,1.0,419.9934362166667,1080.1270139833334,,0.45569357474764216,0.0,,0.0,0.19552786527545524
108.0,1.0,17699.0,0.0,,,0.0,0.0,0.0,,22.086513160075597,2.703787768178954,0.123053,0.6898045532525334,0.0,,,,,120.75087962962964,27975.0,0.0,7.335484473365285,240.11666666666667,,0.0,0.0,,0.0,,,1.0,890800.0,,59.62473940236275,0.0,0.9445266272189349,,,,0.123053,0.0,0.0,,0.0,,,,890800.0,,0.0,0.0,128334.0,31024.0,41099.0,87235.0,12967769.0,10432876.0,0.24174419873143516,0.0075,360.0,780.0,0.46153846153846156,,,17.0,86387.260353,2015-03-26,0.0,1.2429716408016351,0.9969987494789495,71.17784043978982,0.09563812346700139,0.35563707227603597,,93.2048657070346,0.0,1.0,419.99943798333334,1080.0598769333333,,0.42922158487720147,0.0,,0.0,0.32633497367187486
