C2_F1_UniqueSLD,C2_F3_ChatSessionCount,C2_F6_ProductivityHits,C3_F1_FoodDeliveryHits,C3_F2_LateNightDeliveryRatio,C3_F3_MeanInterOrderDays,C3_F4_DietSiteVisits,C3_F5_TrackerBurstCount,C3_F6_SmartScaleUploads,C3_F7_WeighInTimeVarMin,C5_F1_DhcpPerHour,C5_F2_WifiDwellMin,C5_F3_MedianIKS,C5_F4_IKSStd,C5_F5_Sub30sSessions,C5_F6_SessionFano,C6_F1_LongestMiddayIdleMin,C6_F2_DayActiveSessionCount,C6_F3_DayIdleRatio_09_18,C6_F4_UpstreamBpsPerActiveHour,C6_F5_PostChatCount,C6_F6_MedianInterReqSec,C6_F7_InterReqFano,C6_F8_FirstActivityMin,C6_F9_ActivationDelayVsBase28d,C7_F1_MentalHealthSiteVisitsDay,C7_F2_NegativeSelfSearchRatio,C7_F3_SelfAssessmentDwellSec,C7_F4_HelpTherapyLookupHits,C7_F5_AccountDeleteUnsubCount,C7_F6_SettingsPrivacyDwellSec,C7_F7_SocialOutgoingShareUp,C7_F8_CloudUploadBytesToday,C8_F1_MedianPageDwellSec,C8_F2_DNSBurstRatePerHour,C8_F3_NotificationMicroSessionsCount,C8_F4_RepeatedQueryRatio60m,C8_F5_QueryReformulationMax,C8_F6_BackNavShare,C8_F7_SERPTimeToFirstClickSec,C8_F8_MedianIKSsec,C9_F1_CrisisLineHits,C9_F2_SuicideMethodQueryRatio,C9_F3_TherapyBookingVisits,C9_F4_SelfHarmForumVisits,C9_F5_SelfHarmForumUpBytes,C9_F6_SelfHarmForumMeanSessLenSec,C9_F7_WillInsuranceDownloads,C9_F8_CloudBackupUpBytesToday,C9_F9_AccountDeletionRequestsCount,C9_F10_NightSuicideQueryBursts,C9_F11_NightNegativeSearchRatio,n_total_packets_today,n_night_packets_today,night_pkts_today,day_pkts_today,down_bytes_today,up_bytes_today,LateNightShare,LongestInactivityHours,ActiveNightMinutes,ActiveDayMinutes,ND_Ratio,IS,IV,F1_DistinctSocial,F2_MeanSocialDurSec,Date,F3_LongStreams,F4_DownUpRatio,F5_RevisitRatio,F6_Fano,F7_HourlyCV,F8_NightDayRatioPkts,C2_F2_MedianReplyLatencySec,C2_F4_MeanUpstreamRateBps,C2_F5_PassiveActiveByteRatio,C2_F7_SocialOutgoingShareUp,C4_F1_OnsetDelayFrom2200Min,C4_F2_WakeAfter0400Min,C4_F3_OnsetVar14dMin,C4_F4_SleepDurationZAbs30d,C4_F5_NocturnalMicroSessionCount0106,C4_F6_MeanInterAwakGapMin0106,C4_F7_DaytimeIdleRatio0818,C4_F8_NightDayTrafficRatioBytes
0.0,3.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,313.3833333333333,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,597699.0,550104.0,550104.0,47595.0,,,0.9203696174830475,3.1569444444444446,8.0,16.0,0.5,0.16096060055797023,0.4653508944884789,0.0,186.95566666666664,2023-06-20,0.0,,,104958.78260032738,1.803326893187944,11.558020800504254,,,,1.0,,,,,2.0,13.440066666666667,0.7746478873239436,9.117186650079683
0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,592.7333333333333,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,47650.0,0.0,0.0,47650.0,,,0.0,0.1802777777777778,0.0,13.0,0.0,0.8512578574472613,0.6162299239222315,0.0,175.666,2023-06-26,0.0,,,7589.221113831566,0.28214060860440715,0.0,,,,1.0,,,,,0.0,,0.5185185185185185,0.0
0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,589.3333333333334,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,30759.0,0.0,0.0,30759.0,,,0.0,0.07138888888888889,0.0,12.0,0.0,1.5761685442083169,0.955026455026455,0.0,,2023-06-27,0.0,,,3328.4750411090636,0.3029032153190936,0.0,,,,,,,,,0.0,,0.3684210526315789,0.0
0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,609.0333333333333,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,81360.0,28294.0,28294.0,53066.0,,,0.3477630285152409,6.895277777777777,4.0,17.0,0.23529411764705882,0.23542158901917412,0.4008616831342121,0.0,166.487,2023-06-28,0.0,,,7679.8039784078255,1.8359786294479632,0.5331850902649531,,,,1.0,,,,,1.0,,0.8896103896103896,0.5467541479433525
0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,487.8333333333333,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,50720.0,0.0,0.0,50720.0,,,0.0,0.24222222222222223,0.0,17.0,0.0,0.708333333333333,0.629549478654338,0.0,174.438,2023-06-29,0.0,,,7141.031624605678,0.0,0.0,,,,1.0,,,,,0.0,,0.575,0.0
0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,253.81666666666666,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,50175.0,50175.0,50175.0,0.0,,,1.0,0.07,18.0,0.0,,2.15625,1.126666666666667,0.0,180.96,2023-06-30,0.0,,,6872.2215054999815,0.0,inf,,,,1.0,,,,,0.0,,,inf
25.0,3.0,23.0,0.0,,,0.0,0.0,0.0,0.14725098753537252,27.476226950227552,2.2135710655172414,,,0.0,,,,,11.702777777777778,0.0,0.0,1153.0827913707844,565.1166666666667,,0.0,0.0,,0.0,,,,0.0,,15.692307692307693,0.0,0.7405857740585774,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,120196.0,0.0,0.0,120196.0,43068.0,84260.0,0.0,0.42388888888888887,0.0,24.0,0.0,0.5239863723101847,0.26593406593406593,14.0,418.4448386666666,2023-09-05,0.0,0.5111322098267268,0.9978945595418561,26712.13543283351,0.6012013710938799,0.0,,0.0,,0.0,,,,,0.0,,0.6363636363636364,0.0
46.0,3.0,152.0,0.0,,,0.0,0.0,2.0,138.57783963693353,7.9556381080465695,7.407878040789475,0.000262,0.16974858301287304,0.0,,,,,344.5775,8004.0,0.0,10428.752637879046,255.43333333333334,,0.0,0.0,,0.0,,,,0.0,,6.938775510204081,0.0,0.7843137254901961,,,,0.000262,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,1111474.0,98644.0,98644.0,1012830.0,21682883.0,3721437.0,0.08875061404945145,3.660833333333333,12.0,23.0,0.5217391304347826,0.3750307794057794,0.26022277042685205,20.0,687.650456,2023-09-06,0.0,5.826481275915728,0.9995038184406955,460559.0855952805,1.8536702099018172,0.09739442946990116,,297.3207801784084,0.0,,,,,0.8032002055794143,0.0,,0.6714285714285714,0.07826489555170628
